GEO_TYPE,GEO_ID,GEO_LABEL,GEO_DISPLAY_NAME,,Latino ,White ,Black ,Native American ,Asian or Pacific Islander ,Other Race ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005000100,"Census Tract 1, Bronx County, New York",,1,29.85472,6.797281,59.9227,0.186592,1.79928,1.439424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005000200,"Census Tract 2, Bronx County, New York",,0,74.95715,1.771091,18.09179,0,2.799467,2.380499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005000400,"Census Tract 4, Bronx County, New York",,0,64.68227,4.063545,29.73244,0,0.568562,0.953177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005001600,"Census Tract 16, Bronx County, New York",,0,66.72721,2.344782,29.32629,0,0,1.601717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005001900,"Census Tract 19, Bronx County, New York",,0,54.02685,7.270694,32.62491,0,1.86428,4.213274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005002000,"Census Tract 20, Bronx County, New York",,0,61.36239,1.401818,34.33359,0.240937,2.661264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005002300,"Census Tract 23, Bronx County, New York",,0,62.76949,0.207297,36.15257,0.870647,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005002400,"Census Tract 24, Bronx County, New York",,1,0,47.15447,52.84553,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005002500,"Census Tract 25, Bronx County, New York",,0,77.79154,1.610334,17.89064,0,2.583614,0.123872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005002701,"Census Tract 27.01, Bronx County, New York",,0,68.029,0,31.3118,0,0,0.659196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005002702,"Census Tract 27.02, Bronx County, New York",,0,69.08625,0.960717,29.95303,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005002800,"Census Tract 28, Bronx County, New York",,0,37.5514,0.71028,56.65421,0,0.691589,4.392523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005003100,"Census Tract 31, Bronx County, New York",,0,66.97248,0.802752,29.75917,0,2.006881,0.458716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005003300,"Census Tract 33, Bronx County, New York",,0,62.49027,1.167315,32.97017,2.30869,0,1.063554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005003500,"Census Tract 35, Bronx County, New York",,0,73.49428,0.381194,26.12452,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005003700,"Census Tract 37, Bronx County, New York",,0,58.42294,20.07168,21.50538,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005003800,"Census Tract 38, Bronx County, New York",,0,58.50722,1.123596,38.2825,0,0.722311,1.364366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005003900,"Census Tract 39, Bronx County, New York",,0,81.31648,4.578388,14.10513,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005004001,"Census Tract 40.01, Bronx County, New York",,0,56.95097,11.48422,8.126259,0,18.80457,4.633983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005004100,"Census Tract 41, Bronx County, New York",,0,79.78415,0.579897,19.1366,0,0.499356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005004200,"Census Tract 42, Bronx County, New York",,0,46.92915,4.61264,46.86544,0,1.223242,0.369521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005004300,"Census Tract 43, Bronx County, New York",,0,71.16758,0.381996,25.82627,0,0.56469,2.059459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005004400,"Census Tract 44, Bronx County, New York",,0,62.2747,1.678061,32.98115,0,2.941786,0.124301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005004600,"Census Tract 46, Bronx County, New York",,0,60.22267,2.580972,36.083,0.404858,0,0.708502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005004800,"Census Tract 48, Bronx County, New York",,0,75.62167,0.643872,22.11368,0,0,1.620782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005005001,"Census Tract 50.01, Bronx County, New York",,0,65.41208,0.907161,30.80486,1.447597,0,1.428296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005005002,"Census Tract 50.02, Bronx County, New York",,0,69.50941,0.615439,21.73378,1.547389,1.125374,5.468613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005005100,"Census Tract 51, Bronx County, New York",,0,74.26004,0.158562,23.80197,1.356589,0.422833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005005200,"Census Tract 52, Bronx County, New York",,0,72.46622,0.591216,25.80236,0,0.380068,0.760135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005005300,"Census Tract 53, Bronx County, New York",,0,47.51681,1.78479,48.52561,0.879462,0.155199,1.138127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005005400,"Census Tract 54, Bronx County, New York",,0,75.25429,1.668786,17.03751,0,1.493961,4.545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005005600,"Census Tract 56, Bronx County, New York",,0,64.26932,1.530222,24.59832,0,2.027544,7.574598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005005902,"Census Tract 59.02, Bronx County, New York",,0,73.85288,3.058995,20.10197,0,1.201748,1.784414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006000,"Census Tract 60, Bronx County, New York",,0,76.12293,1.339638,18.12451,0,2.442868,1.970055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006100,"Census Tract 61, Bronx County, New York",,0,20.55183,2.34657,73.77514,0,0.51573,2.810727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006200,"Census Tract 62, Bronx County, New York",,0,68.11535,0.027078,29.50176,0.284322,2.057947,0.013539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006300,"Census Tract 63, Bronx County, New York",,0,66.60452,5.68632,21.8131,0.769052,4.054999,1.072011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006400,"Census Tract 64, Bronx County, New York",,0,52.60257,4.715248,33.80282,0,4.4703,4.409063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006500,"Census Tract 65, Bronx County, New York",,0,66.50027,2.460332,29.18524,0,1.390622,0.463541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006700,"Census Tract 67, Bronx County, New York",,0,64.99934,0.276425,29.68277,1.079373,0.987232,2.974858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006800,"Census Tract 68, Bronx County, New York",,0,47.23049,3.275759,39.72603,0.714711,8.814771,0.238237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005006900,"Census Tract 69, Bronx County, New York",,0,56.19234,2.548432,37.36162,0,1.729705,2.167897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007000,"Census Tract 70, Bronx County, New York",,0,63.08038,2.311311,20.3109,0.715893,6.708938,6.872571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007100,"Census Tract 71, Bronx County, New York",,0,63.79717,1.650943,32.03616,0,1.29717,1.218553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007200,"Census Tract 72, Bronx County, New York",,0,44.59824,6.129786,18.31745,0,23.76416,7.190365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007300,"Census Tract 73, Bronx County, New York",,0,57.46416,1.557093,39.54523,0.074147,0.988631,0.370737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007400,"Census Tract 74, Bronx County, New York",,0,65.79303,3.107268,29.12726,0,0.189138,1.783302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007500,"Census Tract 75, Bronx County, New York",,0,55.98213,1.423134,41.03922,1.406586,0,0.148933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007600,"Census Tract 76, Bronx County, New York",,0,64.49232,4.049471,22.44165,0,8.298424,0.718133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007700,"Census Tract 77, Bronx County, New York",,0,72.10784,2.352941,25.09804,0.441176,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007800,"Census Tract 78, Bronx County, New York",,0,71.7521,3.442999,13.45065,0,8.936496,2.417751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005007900,"Census Tract 79, Bronx County, New York",,0,73.4947,0.134469,24.98132,0,0.567757,0.821754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005008300,"Census Tract 83, Bronx County, New York",,0,81.28358,0.333963,13.7215,0,3.818789,0.842166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005008400,"Census Tract 84, Bronx County, New York",,0,63.44937,1.542722,25.2769,0,6.25,3.481013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005008500,"Census Tract 85, Bronx County, New York",,0,79.11333,0.796129,18.3734,0,0.967843,0.749298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005008600,"Census Tract 86, Bronx County, New York",,0,69.57651,0.545596,26.31852,0,3.377501,0.181865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005008700,"Census Tract 87, Bronx County, New York",,0,77.13396,1.869159,19.43925,0.607477,0,0.950156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005008900,"Census Tract 89, Bronx County, New York",,0,79.14535,1.564851,18.68793,0,0.601866,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005009000,"Census Tract 90, Bronx County, New York",,0,69.08691,2.722772,23.21232,0,3.79538,1.182618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005009200,"Census Tract 92, Bronx County, New York",,0,61.20502,1.723849,15.69874,0,14.04184,7.330544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005009300,"Census Tract 93, Bronx County, New York",,0,70.15604,0.984699,28.1927,0.227238,0,0.439327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005009600,"Census Tract 96, Bronx County, New York",,0,54.13939,6.738544,19.59954,0,19.25298,0.269542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005009800,"Census Tract 98, Bronx County, New York",,0,71.29665,2.619676,21.14587,0,3.241613,1.696193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005011000,"Census Tract 110, Bronx County, New York",,0,100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005011502,"Census Tract 115.02, Bronx County, New York",,0,68.87887,0.558419,29.44588,0,1.116838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005011700,"Census Tract 117, Bronx County, New York",,0,68.55469,2.929688,28.51563,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005011800,"Census Tract 118, Bronx County, New York",,0,22.47959,69.81204,1.9176,0,4.91741,0.873362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005011900,"Census Tract 119, Bronx County, New York",,0,66.6731,0.173779,30.85538,0.328249,0.270322,1.69917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005012101,"Census Tract 121.01, Bronx County, New York",,0,69.21739,2.991304,24.86957,0,1.252174,1.669565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005012102,"Census Tract 121.02, Bronx County, New York",,0,86.74197,0.297265,12.00951,0,0,0.951249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005012300,"Census Tract 123, Bronx County, New York",,0,67.63422,1.721038,27.63935,0,1.078859,1.926535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
