Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1600000US3651000,3651000,"New York city, New York",8560072,*****,6068576,*****,2491496,*****
8600000US06390,6390,ZCTA5 06390,230,139,227,139,3,8
8600000US07421,7421,ZCTA5 07421,7351,509,6889,569,462,263
8600000US10001,10001,ZCTA5 10001,23947,1738,20495,1809,3452,528
8600000US10002,10002,ZCTA5 10002,77925,2031,56575,1868,21350,1339
8600000US10003,10003,ZCTA5 10003,55035,1789,50677,1683,4358,784
8600000US10004,10004,ZCTA5 10004,2990,532,2768,486,222,165
8600000US10005,10005,ZCTA5 10005,8680,922,8153,858,527,314
8600000US10006,10006,ZCTA5 10006,3579,483,3140,445,439,238
8600000US10007,10007,ZCTA5 10007,7036,784,6410,798,626,235
8600000US10009,10009,ZCTA5 10009,60141,1585,44602,1425,15539,1201
8600000US10010,10010,ZCTA5 10010,33119,2073,28896,1952,4223,1166
8600000US10011,10011,ZCTA5 10011,50711,1638,45071,1654,5640,789
8600000US10012,10012,ZCTA5 10012,24527,1202,22918,1211,1609,371
8600000US10013,10013,ZCTA5 10013,29619,1407,27815,1375,1804,458
8600000US10014,10014,ZCTA5 10014,31794,1288,29805,1291,1989,548
8600000US10016,10016,ZCTA5 10016,51448,1933,46621,1826,4827,1383
8600000US10017,10017,ZCTA5 10017,16388,1296,15240,1269,1148,421
8600000US10018,10018,ZCTA5 10018,9719,516,8108,570,1611,309
8600000US10019,10019,ZCTA5 10019,41592,1692,34895,1463,6697,1017
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11
8600000US10021,10021,ZCTA5 10021,44983,2602,41471,2042,3512,1472
8600000US10022,10022,ZCTA5 10022,30807,1366,28885,1170,1922,567
8600000US10023,10023,ZCTA5 10023,61514,2299,54784,2139,6730,904
8600000US10024,10024,ZCTA5 10024,58512,2109,52252,2158,6260,926
8600000US10025,10025,ZCTA5 10025,94382,2987,71663,2534,22719,2302
8600000US10026,10026,ZCTA5 10026,40105,1727,31411,1554,8694,1145
8600000US10027,10027,ZCTA5 10027,65365,1957,49604,1964,15761,1418
8600000US10028,10028,ZCTA5 10028,50091,2282,46796,2287,3295,748
8600000US10029,10029,ZCTA5 10029,80866,2559,42256,1911,38610,2081
8600000US10030,10030,ZCTA5 10030,30163,1892,22484,1351,7679,1349
8600000US10031,10031,ZCTA5 10031,62382,2096,30742,1804,31640,1927
8600000US10032,10032,ZCTA5 10032,63185,2680,21181,1373,42004,2473
