PDCODE_VALUE,LAW_NYS,CATEGORY,LIT_LONG,LIT_SHORT
0,BUS000.00   0F    ,F,VIOL BUSINESS CORP LAW E FEL  ,BUS E FEL      
0,BUS000.00   0M    ,M,VIOL BUSINESS CORP LAW A MISD ,BUS A MISD     
0,FCA000.00   0M    ,M,VIOL FAMILY COURT ACT U MISD  ,VIOL FCA U MISD
0,FCA000.00   0V    ,V,VIOL FAMILY COURT ACT VIOL    ,VIOL FCA VIOL  
0,HYL000.00   0M    ,M,VIOL HIGHWAY LAW U MISD       ,VIOL HYL U MISD
0,HYL000.00   0V    ,V,VIOL HIGHWAY LAW VIOL         ,VIOL HYL VIOL  
0,MLR000.00   0V    ,V,VIOL MULTIPLE RESIDENCE VIOL  ,VIO MLR VIOL   
0,MLR000.00   AM    ,M,VIOL MULTIPLE RESIDENCE A MISD,VIO MLR A MISD 
0,MLR000.00   UM    ,M,VIOL MULTIPLE RESIDENCE U MISD,VIO MLR U MISD 
0,PL 105.00   00H   ,M,HATE CRIME/CONSPIRACY-6TH,    
1,FOA900.00   01    , ,FAMILY CT ACT NON SUPPORT     ,FCA NON SUPPORT
2,FOA900.00   02    , ,FAMILY CT ORDER OF PROTECTION ,FCA ORDER PRTCT
4,FOA900.00   04    , ,FCA PERSON NEEDS SUPERVISON   ,P.I.N.O.S.     
9,FCA0453     D     ,V,WARRANT-VIOLATE SUPPORT ORDER ,SUPPORT ORDER  
9,FOA900.00   09    , ,FAMILY CT ALL OFFENSES        ,FCA OFFENSE    
11,FOA900.00   11    ,V,NY CITY TRAFFIC WARRANT       ,CITY TRAF WRNT 
12,FOA900.00   12    , ,NY CITY UNCLASSIFIED WARRANTS ,CITY UNCLS WRNT
15,FOA900.00   15    , ,FUGITIVE OTHER JURIS IN NYS   ,FUGITIVE NYS   
16,FOA900.00   16    , ,FUGITIVE OTHER STATES         ,FUG OTHER STATE
29,FOA900.00   29    , ,NYS PAROLE                    ,NYS PAROLE     
30,FOA900.00   30    , ,NYS PROBATION                 ,NYS PROBATION  
35,FOA900.00   35    , ,NYS UNCLASSIFIED WARRANTS     ,STATE UNCL WRNT
49,FOA900.00   49    , ,US CODE UNCLASSIFIED          ,US CODE OFFENSE
101,PL 120.00   01    ,M,ASLT W/INT CAUSES PHYS INJURY ,ASSAULT 3      
101,PL 120.00   02    ,M,ASLT 3 RECKLSLY CAUSE PHYS INJ,ASSAULT-3      
101,PL 120.00   03    ,M,ASLT W/CRM NEG CAUS INJ W/WEAP,ASSAULT 3      
101,PL 120.16         ,M,HAZING-1ST                    ,HAZING 1ST     
101,PL 120.45   01    ,M,STALKING 4TH:CAUSE FEAR       ,STALKING 4TH   
101,PL 120.45   02    ,M,STALKING 4TH:ILL COMMUNICATE  ,STALKING 4TH   
101,PL 120.45   03    ,M,STALKING 4TH:AT EMPLOYMENT    ,STALKING 4TH   
101,PL 240.70   01    ,M,CRIMINAL INTERFERENCE 2ND     ,CRIM INTER 2ND 
101,PL 240.70   1A    ,M,CRIM INTER 2ND:HEALTH SERV    ,CRIM INTER 2ND 
101,PL 240.70   1B    ,M,CRIM INTER 2ND:HEALTH SERV    ,CRIM INTER 2ND 
101,PL 240.70   1C    ,M,CRIM INTER 2ND:RELIGIGON      ,CRIM INTER 2ND 
104,PL 120.03   01    ,F,VEHICULAR ASSAULT 2ND: INJURY ,VEH ASSAULT-2ND
104,PL 120.03   02    ,F,VEH ASLT-2:MV-HAZ MAT-INJURY  ,VEH ASSAULT-2ND
104,PL 120.03   03    ,F,VEH ASLT-2: SNOWMOB/ATV-INJURY,VEH ASSAULT-2ND
104,PL 120.04         ,F,VEHICULAR ASSAULT-1ST DEGREE  ,VEH ASSAULT-1ST
104,PL 120.04   01    ,F,VEH ASLT1 .18 OF 1%OR MORE ALC,VEH ASSAULT-1ST
104,PL 120.04   03    ,F,VEH ASLT 1:PREV CONV VTL 1192 ,VEH ASSAULT-1ST
104,PL 120.04   04    ,F,VEH ASLT 1:INJURE>1 OTHER PERS,VEH ASSAULT-1ST
104,PL 120.04   05    ,F,VEHIC ASLT 1:CONV PL120/125-MV,VEH ASSAULT-1ST
104,PL 120.04   06    ,F,VEH ASLT 1:INJURE CHILD PASS  ,VEH ASSAULT-1ST
104,PL 120.04   2A    ,F,VEH ASLT-1: LIC OTH ST SUS/REV,VEH ASSAULT-1ST
104,PL 120.04   2AB   ,F,VEH ASLT-1: LIC OTH ST SUS/REV,VEH ASSAULT-1ST
104,PL 120.04   2B    ,F,VEH ASLT-1ST:LICENSE SUSP/REV ,VEH ASSAULT-1ST
104,PL 120.04   2BB   ,F,VEH ASLT-1ST:LICENSE SUSP/REV ,VEH ASSAULT-1ST
104,PL 120.04-A 01    ,F,AGGR VEH ASLT.18 OF 1% OR MORE,AGG VEH ASSAULT
104,PL 120.04-A 02A   ,F,AG VEH ASLT:LIC OTH ST SUS/REV,AGG VEH ASSAULT
104,PL 120.04-A 02AB  ,F,AG VEH ASLT:LIC OTH ST SUS/REV,AGG VEH ASSAULT
104,PL 120.04-A 02B   ,F,AGGR VEH ASLT:LICENSE SUSP/REV,AGG VEH ASSAULT
104,PL 120.04-A 02BB  ,F,AGGR VEH ASLT:LICENSE SUSP/REV,AGG VEH ASSAULT
104,PL 120.04-A 03    ,F,AG VEH ASLT:PREV CONV VTL 1192,AGG VEH ASSAULT
104,PL 120.04-A 04    ,F,AG VEH ASLT:INJURE>1 OTH PERSN,AGG VEH ASSAULT
104,PL 120.04-A 05    ,F,AG VEH ASLT:CONV PL 120/125-MV,AGG VEH ASSAULT
104,PL 120.04-A 06    ,F,AGG VEH ASLT: INJ CHILD PASS  ,AGG VEH ASSLT  
104,PL 120.04-A 06    ,F,AGG VEH ASLT 1:INJ CHILD PASS ,AGG VEH ASSLT-1
104,PL 120.04-A 06B   ,F,AGG VEH ASLT: INJ CHILD PASS  ,AGG VEH ASSLT  
105,PL 121.12         ,F,STRANGULATION 2ND DEGREE      ,STRANGULATION 2
105,PL 121.12   00H   ,F,STRANGULATION 2ND-HATE CRIME  ,STRANG2-HATE CR
105,PL 121.12   00T   ,F,PL490.25/CRM TER:STRANGULATE 2,49025-STRANGLE2
105,PL 121.12   00X   ,F,STRANGULATION 2-SEX MOTIVATED ,STRANG2-SEX MOT
105,PL 121.13         ,F,STRANGULATION 1ST DEGREE      ,STRANGULATION 1
105,PL 121.13   00H   ,F,STRANGULATION 1ST DEGREE      ,STRANGULATION 1
105,PL 121.13   00T   ,F,PL490.25/CRM TER:STRANGULATE 1,49025-STRANGLE1
105,PL 121.13   00X   ,F,STRANGULATION 1ST-SEX MOTIV   ,STRANG1-SEX MOT
106,PL 120.05   03    ,F,ASLT-2-INT CAUSE PH INJ TO OFF,ASSAULT 2ND    
106,PL 120.05A  03    ,F,ASLT 2: INT INJ POL/FIREMAN   ,ASSAULT 2ND    
106,PL 120.08         ,F,ASLT:POLICE OFF/FIREMAN/EMT   ,ASSAULT        
