Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Staten Island,2010,85,5,300,1927
Staten Island,2010,85,5,600,2408
Staten Island,2010,85,5,700,4915
Staten Island,2010,85,5,800,5583
Staten Island,2010,85,5,900,2112
Staten Island,2010,85,5,1100,3987
Staten Island,2010,85,5,1700,1788
Staten Island,2010,85,5,1800,731
Staten Island,2010,85,5,2001,2504
Staten Island,2010,85,5,2002,3258
Staten Island,2010,85,5,2100,4236
Staten Island,2010,85,5,2700,2217
Staten Island,2010,85,5,2900,5207
Staten Island,2010,85,5,3300,3402
Staten Island,2010,85,5,3600,2510
Staten Island,2010,85,5,3900,2197
Staten Island,2010,85,5,4000,12998
Staten Island,2010,85,5,4700,3863
Staten Island,2010,85,5,5000,3847
Staten Island,2010,85,5,5900,2635
Staten Island,2010,85,5,6400,3550
Staten Island,2010,85,5,6700,2758
Staten Island,2010,85,5,7000,8525
Staten Island,2010,85,5,7400,4693
Staten Island,2010,85,5,7500,3914
Staten Island,2010,85,5,7700,1535
Staten Island,2010,85,5,8100,4301
Staten Island,2010,85,5,8900,0
Staten Island,2010,85,5,9601,4024
Staten Island,2010,85,5,9602,3461
Staten Island,2010,85,5,9700,3925
Staten Island,2010,85,5,10500,5153
Staten Island,2010,85,5,11201,5758
Staten Island,2010,85,5,11202,6428
Staten Island,2010,85,5,11401,3067
Staten Island,2010,85,5,11402,3450
Staten Island,2010,85,5,12100,3065
Staten Island,2010,85,5,12200,3813
Staten Island,2010,85,5,12500,2939
Staten Island,2010,85,5,12804,4259
Staten Island,2010,85,5,12805,3158
Staten Island,2010,85,5,12806,5955
Staten Island,2010,85,5,13201,1558
Staten Island,2010,85,5,13203,5433
Staten Island,2010,85,5,13204,4843
Staten Island,2010,85,5,13301,1633
Staten Island,2010,85,5,13302,3587
Staten Island,2010,85,5,13400,3946
Staten Island,2010,85,5,13800,6535
Staten Island,2010,85,5,14100,2690
Staten Island,2010,85,5,14604,6422
Staten Island,2010,85,5,14605,3836
Staten Island,2010,85,5,14606,6372
Staten Island,2010,85,5,14607,4552
Staten Island,2010,85,5,14608,3510
Staten Island,2010,85,5,14700,3412
Staten Island,2010,85,5,15100,5141
Staten Island,2010,85,5,15400,0
Staten Island,2010,85,5,15601,6330
Staten Island,2010,85,5,15602,3320
Staten Island,2010,85,5,15603,4265
Staten Island,2010,85,5,16901,2970
Staten Island,2010,85,5,17005,4507
Staten Island,2010,85,5,17007,4968
Staten Island,2010,85,5,17008,7388
Staten Island,2010,85,5,17009,4299
Staten Island,2010,85,5,17010,8583
Staten Island,2010,85,5,17011,4549
Staten Island,2010,85,5,17012,4279
Staten Island,2010,85,5,17300,2523
Staten Island,2010,85,5,17600,4815
Staten Island,2010,85,5,17700,7001
Staten Island,2010,85,5,18100,2974
Staten Island,2010,85,5,18701,1807
Staten Island,2010,85,5,18702,7485
Staten Island,2010,85,5,18901,5333
Staten Island,2010,85,5,18902,5064
Staten Island,2010,85,5,19700,1867
Staten Island,2010,85,5,19800,6300
Staten Island,2010,85,5,20100,3572
Staten Island,2010,85,5,20700,6399
Staten Island,2010,85,5,20801,8977
Staten Island,2010,85,5,20803,6463
Staten Island,2010,85,5,20804,5323
Staten Island,2010,85,5,21300,5376
Staten Island,2010,85,5,22300,2880
Staten Island,2010,85,5,22600,8490
Staten Island,2010,85,5,22800,105
Staten Island,2010,85,5,23100,4683
Staten Island,2010,85,5,23900,3250
Staten Island,2010,85,5,24401,5823
Staten Island,2010,85,5,24402,4259
Staten Island,2010,85,5,24700,2702
Staten Island,2010,85,5,24800,4741
Staten Island,2010,85,5,25100,5714
Staten Island,2010,85,5,27301,3820
Staten Island,2010,85,5,27302,3667
Staten Island,2010,85,5,27702,6193
Staten Island,2010,85,5,27704,4108
Staten Island,2010,85,5,27705,5351
Staten Island,2010,85,5,27706,2950
Staten Island,2010,85,5,27900,2137
Staten Island,2010,85,5,29102,2953
Staten Island,2010,85,5,29103,7245
Staten Island,2010,85,5,29104,6735
Staten Island,2010,85,5,30301,4929
Staten Island,2010,85,5,30302,6369
Staten Island,2010,85,5,31901,3265
Staten Island,2010,85,5,31902,4848
Staten Island,2010,85,5,32300,1250
Staten Island,2010,85,5,990100,0
