"","CTRACT","_10"
"1","085000300",NA
"2","085000600",NA
"3","085000700",NA
"4","085000800",7
"5","085000900",NA
"6","085001100",NA
"7","085001700",NA
"8","085002001",NA
"9","085002002",NA
"10","085002100",NA
"11","085002700",5
"12","085002900",5
"13","085003300",NA
"14","085003600",NA
"15","085003900",NA
"16","085004000",11
"17","085004700",NA
"18","085005000",NA
"19","085005900",NA
"20","085006400",8
"21","085006700",NA
"22","085007000",NA
"23","085007400",5
"24","085007500",NA
"25","085007700",NA
"26","085008100",NA
"27","085009601",NA
"28","085009602",NA
"29","085009700",NA
"30","085010500",NA
"31","085011201",7
"32","085011202",NA
"33","085011401",NA
"34","085011402",NA
"35","085012100",NA
"36","085012200",NA
"37","085012500",NA
"38","085012804",8
"39","085012805",NA
"40","085012806",8
"41","085013201",NA
"42","085013203",6
"43","085013204",9
"44","085013301",NA
"45","085013302",NA
"46","085013400",7
"47","085013800",NA
"48","085014100",NA
"49","085014604",7
"50","085014605",NA
"51","085014606",6
"52","085014607",NA
"53","085014608",NA
"54","085014700",5
"55","085015100",NA
"56","085015601",6
"57","085015602",NA
"58","085015603",NA
"59","085016901",NA
"60","085017005",NA
"61","085017007",NA
"62","085017008",8
"63","085017009",5
"64","085017010",7
"65","085017011",NA
"66","085017012",NA
"67","085017300",NA
"68","085017600",NA
"69","085017700",NA
"70","085018100",NA
"71","085018701",NA
"72","085018702",NA
"73","085018901",NA
"74","085018902",NA
"75","085019700",NA
"76","085019800",NA
"77","085020100",NA
"78","085020700",NA
"79","085020801",8
"80","085020803",NA
"81","085020804",NA
"82","085021300",NA
"83","085022300",NA
"84","085022600",10
"85","085023100",NA
"86","085023900",NA
"87","085024401",6
"88","085024402",NA
"89","085024700",NA
"90","085024800",NA
"91","085025100",NA
"92","085027301",NA
"93","085027302",NA
"94","085027702",6
"95","085027704",NA
"96","085027705",NA
"97","085027706",NA
"98","085027900",NA
"99","085029102",NA
"100","085029103",7
"101","085029104",10
"102","085030301",NA
"103","085030302",NA
"104","085031901",NA
"105","085031902",NA
"106","085032300",NA
