"Cause","YEAR","Community District of Residence","tdeath","DeathRate","AgeAdjustedDeathRate"
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Battery Park, Tribeca (101)",6,".","."
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Greenwich Village, SOHO (102)",".",".","."
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Lower East Side (103)",47,27.5,24.6
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Chelsea, Clinton (104)",25,20.5,16.4
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Midtown Business District (105)",5,".","."
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Murray Hill (106)",19,13.1,12.4
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Upper West Side (107)",20,9.3,8.5
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Upper East Side (108)",14,6.2,6.9
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Manhattanville (109)",21,18.9,18.9
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Central Harlem (110)",33,28.4,25.9
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"East Harlem (111)",34,27.3,26.5
"Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco",2016,"Washington Heights (112)",32,16.3,15.0
