"","age_group","arrest_boro","arrest_date","arrest_key","arrest_precinct","jurisdiction_code","ky_cd","latitude","law_cat_cd","law_code","longitude","ofns_desc","pd_cd","pd_desc","perp_race","perp_sex","x_coord_cd","y_coord_cd","year","month"
"1","25-44","S",2017-12-31,173129262,120,0,235,40.612939762,"M","PL 2211500",-74.087487945,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",959960,162596,2017,12
"2","25-44","S",2017-12-30,173108385,120,0,235,40.640754918,"M","PL 2200300",-74.076747088,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",962951,172727,2017,12
"3","25-44","S",2017-12-29,173090146,120,0,235,40.621795467,"M","PL 2211001",-74.082424012,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961369,165821,2017,12
"4","18-24","S",2017-12-28,173064951,120,0,235,40.637804112,"M","PL 2211001",-74.076985101,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","ASIAN/PAC.ISL","M",962884,171652,2017,12
"5","25-44","S",2017-12-28,173055356,123,0,117,40.511586338,"F","PL 2201601",-74.249303727,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",914928,125757,2017,12
"6","25-44","S",2017-12-28,173039190,120,0,117,40.647128347,"F","PL 2203901",-74.088181423,"DANGEROUS DRUGS",515,"CONTROLLED SUBSTANCE,SALE 3","BLACK","M",959780,175052,2017,12
"7","25-44","S",2017-12-28,173059312,122,0,235,40.560086975,"M","PL 2200300",-74.154228773,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",941396,143366,2017,12
"8","18-24","S",2017-12-27,173012642,120,0,235,40.639941618,"M","PL 2211001",-74.081945582,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961508,172432,2017,12
"9","25-44","S",2017-12-27,172986603,123,0,235,40.509550173,"M","PL 2200300",-74.245250416,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",916053,125012,2017,12
"10","25-44","S",2017-12-27,173024201,120,0,235,40.63968673,"M","PL 2200300",-74.077441276,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",962758,172338,2017,12
