,X,age_group,arrest_boro,arrest_date,arrest_key,arrest_precinct,jurisdiction_code,ky_cd,latitude,law_cat_cd,law_code,longitude,ofns_desc,pd_cd,pd_desc,perp_race,perp_sex,x_coord_cd,y_coord_cd,year,month,Marijuana,Sale,Intent,School
1,1,25-44,S,12/31/17,173129262,120,0,235,40.61293976,M,PL 2211500,-74.08748795,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,959960,162596,2017,12,1,0,0,0
2,2,25-44,S,12/30/17,173108385,120,0,235,40.64075492,M,PL 2200300,-74.07674709,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,962951,172727,2017,12,0,0,0,0
3,3,25-44,S,12/29/17,173090146,120,0,235,40.62179547,M,PL 2211001,-74.08242401,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961369,165821,2017,12,1,0,0,0
4,4,18-24,S,12/28/17,173064951,120,0,235,40.63780411,M,PL 2211001,-74.0769851,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",ASIAN/PAC.ISL,M,962884,171652,2017,12,1,0,0,0
5,5,25-44,S,12/28/17,173055356,123,0,117,40.51158634,F,PL 2201601,-74.24930373,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,914928,125757,2017,12,0,0,1,0
6,6,25-44,S,12/28/17,173039190,120,0,117,40.64712835,F,PL 2203901,-74.08818142,DANGEROUS DRUGS,515,"CONTROLLED SUBSTANCE,SALE 3",BLACK,M,959780,175052,2017,12,0,1,0,0
7,7,25-44,S,12/28/17,173059312,122,0,235,40.56008698,M,PL 2200300,-74.15422877,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,941396,143366,2017,12,0,0,0,0
8,8,18-24,S,12/27/17,173012642,120,0,235,40.63994162,M,PL 2211001,-74.08194558,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961508,172432,2017,12,1,0,0,0
9,9,25-44,S,12/27/17,172986603,123,0,235,40.50955017,M,PL 2200300,-74.24525042,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,916053,125012,2017,12,0,0,0,0
10,10,25-44,S,12/27/17,173024201,120,0,235,40.63968673,M,PL 2200300,-74.07744128,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,962758,172338,2017,12,0,0,0,0
11,11,25-44,S,12/27/17,173026174,122,0,117,40.55033412,F,PL 2201601,-74.14624665,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,943608,139809,2017,12,0,0,1,0
12,12,25-44,S,12/27/17,173010832,123,0,117,40.52791669,F,PL 2200601,-74.16485613,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,938421,131651,2017,12,0,0,1,0
13,13,18-24,S,12/27/17,173012644,120,0,235,40.63994162,M,PL 2211001,-74.08194558,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961508,172432,2017,12,1,0,0,0
