age_group,arrest_boro,arrest_date,arrest_key,arrest_precinct,jurisdiction_code,ky_cd,latitude,law_cat_cd,law_code,longitude,ofns_desc,pd_cd,pd_desc,perp_race,perp_sex,x_coord_cd,y_coord_cd,year,month,PDCODE_VALUE.y,CATEGORY.y,LIT_LONG.y,LIT_SHORT.y,MP_Mis,MP_Fel,MS_Mis,MS_Fel,CSP_Mis,CSP_Fel,CSS_Fel,CSIS_Fel,School
25-44,S,12/31/17,173129262,120,0,235,40.61293976,M,PL 22115,-74.08748795,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,959960,162596,2017,12,567,M,CRIM POSS MARIHUANA-4TH:>2 OZS,POS MARIHUANA-4,1,0,0,0,0,0,0,0,0
25-44,S,12/30/17,173108385,120,0,235,40.64075492,M,PL 22003,-74.07674709,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,962951,172727,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/29/17,173090146,120,0,235,40.62179547,M,PL 2211001,-74.08242401,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961369,165821,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
18-24,S,12/28/17,173064951,120,0,235,40.63780411,M,PL 2211001,-74.0769851,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",ASIAN/PAC.ISL,M,962884,171652,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/28/17,173055356,123,0,117,40.51158634,F,PL 2201601,-74.24930373,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,914928,125757,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/28/17,173039190,120,0,117,40.64712835,F,PL 2203901,-74.08818142,DANGEROUS DRUGS,515,"CONTROLLED SUBSTANCE,SALE 3",BLACK,M,959780,175052,2017,12,515,F,CSCS-3RD:NARCOTIC DRUG        ,CSCS-3         ,0,0,0,0,0,0,1,0,0
25-44,S,12/28/17,173059312,122,0,235,40.56008698,M,PL 22003,-74.15422877,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,941396,143366,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
18-24,S,12/27/17,173012642,120,0,235,40.63994162,M,PL 2211001,-74.08194558,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961508,172432,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/27/17,172986603,123,0,235,40.50955017,M,PL 22003,-74.24525042,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,916053,125012,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/27/17,173024201,120,0,235,40.63968673,M,PL 22003,-74.07744128,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,962758,172338,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/27/17,173026174,122,0,117,40.55033412,F,PL 2201601,-74.14624665,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,943608,139809,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/27/17,173010832,123,0,117,40.52791669,F,PL 2200601,-74.16485613,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,938421,131651,2017,12,510,F,CPCS-5TH:WITH INTENT TO SELL  ,CPCS-5         ,0,0,0,0,0,0,0,1,0
18-24,S,12/27/17,173012644,120,0,235,40.63994162,M,PL 2211001,-74.08194558,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961508,172432,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
45-64,S,12/27/17,173026263,122,0,235,40.55033412,M,PL 22003,-74.14624665,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,943608,139809,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/27/17,173024200,120,0,117,40.63968673,F,PL 2201601,-74.07744128,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",HISPANIC,M,962758,172338,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/27/17,173026173,123,0,235,40.54138656,M,PL 22003,-74.16978611,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,937060,136561,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/26/17,172970129,122,0,235,40.60479546,M,PL 22003,-74.08447018,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,960795,159628,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
45-64,S,12/26/17,172970128,122,0,235,40.60479546,M,PL 22003,-74.08447018,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,960795,159628,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/26/17,172953022,120,0,117,40.64502275,F,PL 2201601,-74.07721685,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,962822,174282,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/26/17,172953024,120,0,117,40.64502275,F,PL 2201601,-74.07721685,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,962822,174282,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
45-64,S,12/26/17,172967548,120,0,235,40.63881218,M,PL 22003,-74.08747142,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,959974,172022,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/26/17,172977328,120,0,235,40.63923551,M,PL 2211001,-74.07901894,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,962320,172174,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/26/17,172982593,123,0,235,40.54802256,M,PL 22003,-74.22608334,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,921419,139014,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/23/17,172913874,120,0,117,40.64075492,F,PL 2201601,-74.07674709,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,962951,172727,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
45-64,S,12/23/17,172894178,120,0,235,40.62437431,M,PL 22003,-74.08032342,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,961953,166760,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
18-24,S,12/23/17,172921231,120,0,117,40.61549122,F,PL 2201601,-74.08165623,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,961580,163524,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
45-64,S,12/22/17,172891802,120,0,117,40.63810268,F,PL 2201601,-74.07790064,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,962630,171761,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/22/17,172877874,121,0,117,40.62058297,F,PL 2204402,-74.16378463,DANGEROUS DRUGS,523,SALE SCHOOL GROUNDS,WHITE,F,938782,165411,2017,12,523,F,CSCS: VIOL PL220.39-SCHOOL/BUS,CSCS SCHOOL-BUS,0,0,0,0,0,0,0,0,1
18-24,S,12/22/17,172890082,120,0,117,40.63714245,F,PL 2201601,-74.11635855,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,951956,171423,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
