"","X","age_group","arrest_boro","arrest_date","arrest_key","arrest_precinct","jurisdiction_code","ky_cd","latitude","law_cat_cd","law_code","longitude","ofns_desc","pd_cd","pd_desc","perp_race","perp_sex","x_coord_cd","y_coord_cd","year","month"
"1",1,"25-44","S","2017-12-31",173129262,120,0,235,40.612939762,"M","PL 2211500",-74.087487945,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",959960,162596,2017,12
"2",2,"25-44","S","2017-12-30",173108385,120,0,235,40.640754918,"M","PL 2200300",-74.076747088,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",962951,172727,2017,12
"3",3,"25-44","S","2017-12-29",173090146,120,0,235,40.621795467,"M","PL 2211001",-74.082424012,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961369,165821,2017,12
"4",4,"18-24","S","2017-12-28",173064951,120,0,235,40.637804112,"M","PL 2211001",-74.076985101,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","ASIAN/PAC.ISL","M",962884,171652,2017,12
"5",5,"25-44","S","2017-12-28",173055356,123,0,117,40.511586338,"F","PL 2201601",-74.249303727,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",914928,125757,2017,12
"6",6,"25-44","S","2017-12-28",173039190,120,0,117,40.647128347,"F","PL 2203901",-74.088181423,"DANGEROUS DRUGS",515,"CONTROLLED SUBSTANCE,SALE 3","BLACK","M",959780,175052,2017,12
"7",7,"25-44","S","2017-12-28",173059312,122,0,235,40.560086975,"M","PL 2200300",-74.154228773,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",941396,143366,2017,12
"8",8,"18-24","S","2017-12-27",173012642,120,0,235,40.639941618,"M","PL 2211001",-74.081945582,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961508,172432,2017,12
"9",9,"25-44","S","2017-12-27",172986603,123,0,235,40.509550173,"M","PL 2200300",-74.245250416,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",916053,125012,2017,12
"10",10,"25-44","S","2017-12-27",173024201,120,0,235,40.63968673,"M","PL 2200300",-74.077441276,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",962758,172338,2017,12
"11",11,"25-44","S","2017-12-27",173026174,122,0,117,40.550334116,"F","PL 2201601",-74.146246646,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",943608,139809,2017,12
"12",12,"25-44","S","2017-12-27",173010832,123,0,117,40.527916687,"F","PL 2200601",-74.164856134,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",938421,131651,2017,12
"13",13,"18-24","S","2017-12-27",173012644,120,0,235,40.639941618,"M","PL 2211001",-74.081945582,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961508,172432,2017,12
"14",14,"45-64","S","2017-12-27",173026263,122,0,235,40.550334116,"M","PL 2200300",-74.146246646,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",943608,139809,2017,12
"15",15,"25-44","S","2017-12-27",173024200,120,0,117,40.63968673,"F","PL 2201601",-74.077441276,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE HISPANIC","M",962758,172338,2017,12
"16",16,"25-44","S","2017-12-27",173026173,123,0,235,40.541386562,"M","PL 2200300",-74.169786105,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",937060,136561,2017,12
"17",17,"25-44","S","2017-12-26",172970129,122,0,235,40.604795463,"M","PL 2200300",-74.084470177,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",960795,159628,2017,12
"18",18,"45-64","S","2017-12-26",172970128,122,0,235,40.604795463,"M","PL 2200300",-74.084470177,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",960795,159628,2017,12
"19",19,"25-44","S","2017-12-26",172953022,120,0,117,40.645022746,"F","PL 2201601",-74.077216847,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",962822,174282,2017,12
"20",20,"25-44","S","2017-12-26",172953024,120,0,117,40.645022746,"F","PL 2201601",-74.077216847,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",962822,174282,2017,12
"21",21,"45-64","S","2017-12-26",172967548,120,0,235,40.638812184,"M","PL 2200300",-74.087471423,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",959974,172022,2017,12
"22",22,"25-44","S","2017-12-26",172977328,120,0,235,40.639235511,"M","PL 2211001",-74.079018941,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",962320,172174,2017,12
"23",23,"25-44","S","2017-12-26",172982593,123,0,235,40.548022558,"M","PL 2200300",-74.226083342,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",921419,139014,2017,12
"24",24,"25-44","S","2017-12-23",172913874,120,0,117,40.640754918,"F","PL 2201601",-74.076747088,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",962951,172727,2017,12
"25",25,"45-64","S","2017-12-23",172894178,120,0,235,40.624374314,"M","PL 2200300",-74.080323415,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",961953,166760,2017,12
"26",26,"18-24","S","2017-12-23",172921231,120,0,117,40.615491223,"F","PL 2201601",-74.08165623,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",961580,163524,2017,12
"27",27,"45-64","S","2017-12-22",172891802,120,0,117,40.638102677,"F","PL 2201601",-74.077900636,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",962630,171761,2017,12
"28",28,"25-44","S","2017-12-22",172877874,121,0,117,40.620582974,"F","PL 2204402",-74.163784625,"DANGEROUS DRUGS",523,"SALE SCHOOL GROUNDS","WHITE","F",938782,165411,2017,12
"29",29,"18-24","S","2017-12-22",172890082,120,0,117,40.637142453,"F","PL 2201601",-74.116358554,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",951956,171423,2017,12
"30",30,"25-44","S","2017-12-22",172892485,121,0,235,40.623188378,"M","PL 2211001",-74.149237695,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","M",942822,166353,2017,12
"31",31,"45-64","S","2017-12-22",172877873,121,0,117,40.620582974,"F","PL 2204402",-74.163784625,"DANGEROUS DRUGS",523,"SALE SCHOOL GROUNDS","WHITE","M",938782,165411,2017,12
"32",32,"18-24","S","2017-12-21",172853576,120,0,117,40.626855941,"F","PL 2200601",-74.083701946,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","BLACK","M",961016,167665,2017,12
"33",33,"45-64","S","2017-12-21",172858123,122,0,235,40.568931095,"M","PL 2214000",-74.13890503,"DANGEROUS DRUGS",569,"MARIJUANA, SALE 4 & 5","BLACK","M",945659,146581,2017,12
"34",34,"18-24","S","2017-12-21",172855888,121,0,235,40.635548069,"M","PL 2211001",-74.133714898,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",947138,170849,2017,12
"35",35,"25-44","S","2017-12-21",172860290,122,0,235,40.568931095,"M","PL 2214000",-74.13890503,"DANGEROUS DRUGS",569,"MARIJUANA, SALE 4 & 5","WHITE","M",945659,146581,2017,12
"36",36,"25-44","S","2017-12-21",172867271,123,0,235,40.532406952,"M","PL 2211500",-74.224846967,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","M",921748,133324,2017,12
"37",37,"18-24","S","2017-12-20",172791394,120,0,235,40.611414405,"M","PL 2211001",-74.082771362,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961269,162039,2017,12
"38",38,"25-44","S","2017-12-20",172830965,122,0,117,40.533535725,"F","PL 2201601",-74.150584417,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",942392,133691,2017,12
"39",39,"18-24","S","2017-12-20",172830964,122,0,235,40.533535725,"M","PL 2200300",-74.150584417,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",942392,133691,2017,12
"40",40,"25-44","S","2017-12-20",172830969,120,0,117,40.621006434,"F","PL 2201601",-74.098038517,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",957034,165538,2017,12
"41",41,"45-64","S","2017-12-20",172831102,121,0,235,40.621524465,"M","PL 2200300",-74.140988499,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",945111,165743,2017,12
"42",42,"25-44","S","2017-12-20",172830967,120,0,117,40.621006434,"F","PL 2201601",-74.098038517,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",957034,165538,2017,12
"43",43,"25-44","S","2017-12-20",172813021,123,0,117,40.52092674,"F","PL 2200602",-74.235113195,"DANGEROUS DRUGS",507,"CONTROLLED SUBSTANCE, POSSESSION 5","WHITE","M",918883,129149,2017,12
"44",44,"45-64","S","2017-12-20",172789116,121,0,235,40.595289149,"M","PL 2205002",-74.166037899,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","WHITE","M",938139,156197,2017,12
"45",45,"45-64","S","2017-12-20",172813020,123,0,117,40.52092674,"F","PL 2201601",-74.235113195,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",918883,129149,2017,12
"46",46,"18-24","S","2017-12-20",172815348,121,0,235,40.637399176,"M","PL 2211001",-74.160712843,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",939646,171536,2017,12
"47",47,"<18","S","2017-12-20",172828182,120,0,235,40.615491223,"M","PL 2211001",-74.08165623,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","F",961580,163524,2017,12
"48",48,"25-44","S","2017-12-20",172830966,122,0,117,40.533535725,"F","PL 2201601",-74.150584417,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",942392,133691,2017,12
"49",49,"45-64","S","2017-12-20",172815349,122,0,117,40.596037101,"F","PL 2203901",-74.080231712,"DANGEROUS DRUGS",515,"CONTROLLED SUBSTANCE,SALE 3","BLACK","M",961969,156436,2017,12
"50",50,"25-44","S","2017-12-20",172831103,122,0,235,40.594786154,"M","PL 2200300",-74.125470316,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",949405,155995,2017,12
"51",51,"25-44","S","2017-12-20",172830970,120,0,235,40.621006434,"M","PL 2200300",-74.098038517,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",957034,165538,2017,12
"52",52,"18-24","S","2017-12-19",172786720,121,0,235,40.630027199,"M","PL 2211001",-74.132287986,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","M",947531,168837,2017,12
"53",53,"25-44","S","2017-12-19",172755981,122,0,235,40.542091779,"M","PL 2200300",-74.148121122,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",943082,136807,2017,12
"54",54,"25-44","S","2017-12-19",172755982,122,0,117,40.542091779,"F","PL 2204301",-74.148121122,"DANGEROUS DRUGS",512,"CONTROLLED SUBSTANCE,SALE 1","WHITE","M",943082,136807,2017,12
"55",55,"25-44","S","2017-12-19",172755980,122,0,117,40.542091779,"F","PL 2212500",-74.148121122,"DANGEROUS DRUGS",568,"MARIJUANA, POSSESSION 1, 2 & 3","WHITE","M",943082,136807,2017,12
"56",56,"25-44","S","2017-12-19",172755984,122,0,117,40.538899202,"F","PL 2201601",-74.1462576,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",943598,135643,2017,12
"57",57,"25-44","S","2017-12-18",172738762,121,0,235,40.63165017,"M","PL 2211001",-74.161718581,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",939363,169442,2017,12
"58",58,"25-44","S","2017-12-18",172712147,120,0,235,40.627903284,"M","PL 2200300",-74.111010657,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE HISPANIC","M",953436,168055,2017,12
"59",59,"25-44","S","2017-12-18",172738759,121,0,235,40.639995466,"M","PL 2211001",-74.137658521,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",946046,172471,2017,12
"60",60,"25-44","S","2017-12-17",172699034,121,0,235,40.630070957,"M","PL 2211001",-74.156458444,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE HISPANIC","M",940822,168864,2017,12
"61",61,"18-24","S","2017-12-17",172695379,121,0,235,40.636032663,"M","PL 2211001",-74.134771549,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",946845,171026,2017,12
"62",62,"25-44","S","2017-12-16",172682749,122,0,117,40.577977931,"F","PL 2201601",-74.127094679,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","F",948945,149872,2017,12
"63",63,"18-24","S","2017-12-16",172681820,122,0,235,40.574285688,"M","PL 2205003",-74.105914405,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","WHITE","M",954827,148519,2017,12
"64",64,"18-24","S","2017-12-16",172680639,120,0,235,40.645448462,"M","PL 2211001",-74.080813638,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961824,174438,2017,12
"65",65,"25-44","S","2017-12-16",172675656,123,9,678,40.52491179,"V","PL 2210500",-74.200635415,"MISCELLANEOUS PENAL LAW",566,"MARIJUANA, POSSESSION","WHITE","M",928472,130577,2017,12
"66",66,"25-44","S","2017-12-16",172681823,121,0,235,40.634333532,"M","PL 2211001",-74.137182065,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE HISPANIC","M",946175,170408,2017,12
"67",67,"45-64","S","2017-12-16",172675655,120,0,117,40.61572972,"F","PL 2201601",-74.096233418,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",957533,163615,2017,12
"68",68,"25-44","S","2017-12-16",172671993,121,0,235,40.636538626,"M","PL 2200300",-74.167484465,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",937766,171226,2017,12
"69",69,"18-24","S","2017-12-16",172681824,120,0,117,40.630299493,"F","PL 2201601",-74.088904943,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",959573,168921,2017,12
